"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 09 20:55:41 GMT 2023","Sun Jul 09 20:55:44 GMT 2023","2824","","UITests.DisplayTest","","UITests.DisplayTest","footerVisibilityTest","Проверка наличия и отображения Футера","Тест проверяет наличие и отображение Футера."
"passed","Sun Jul 09 20:56:42 GMT 2023","Sun Jul 09 20:56:46 GMT 2023","3623","","UITests.DataProviderAuthTest","","UITests.DataProviderAuthTest","testLogin","testLogin(String, String) [1] angular, password",""
"passed","Sun Jul 09 20:56:39 GMT 2023","Sun Jul 09 20:56:42 GMT 2023","2444","","UITests.WorkTest","","UITests.WorkTest","horizontalMenuVisibilityTest","Проверка наличия и отображения горизонтального меню. Проверка работы stick класса слайдера.","Тест проверяет наличие Горизонтального меню. Прокручивает страницу вниз, чтобы увидеть следует ли слайдер за пользователем."
"passed","Sun Jul 09 20:56:23 GMT 2023","Sun Jul 09 20:56:28 GMT 2023","4364","","UITests.WorkTest","","UITests.WorkTest","wayPracticeSiteEntranceTest","Проверка перехода на страницу PracticeSite 1","Тест проверяет переходит ли на страницу PractiseSite1 если клинуть по соответствующей ссылке в выпадающем списке в хэдере."
"passed","Sun Jul 09 20:55:36 GMT 2023","Sun Jul 09 20:55:41 GMT 2023","4982","","UITests.DisplayTest","","UITests.DisplayTest","headerVisibilityTest","Проверка наличия и отображения контактов в Хэдере","Тест проверяет наличие блока Контактов в Хедере"
"passed","Sun Jul 09 20:57:51 GMT 2023","Sun Jul 09 20:57:55 GMT 2023","3500","","UITests.DataProviderAuthTest","","UITests.DataProviderAuthTest","testLogin","testLogin(String, String) [4] angular, password",""
"failed","Sun Jul 09 20:56:46 GMT 2023","Sun Jul 09 20:57:18 GMT 2023","32720","","UITests.DataProviderAuthTest","","UITests.DataProviderAuthTest","testLogin","testLogin(String, String) [2] angular, 123",""
"passed","Sun Jul 09 20:56:36 GMT 2023","Sun Jul 09 20:56:39 GMT 2023","3032","","UITests.WorkTest","","UITests.WorkTest","swiperCoursesTest","Проверка наличия и отображения слайдера с курсами. Проверка работоспособности слайдера.","Тест проверяет отображение слайдера с курсами. Свайпает слайдер и проверяет меняется ли класс слайдера на другой, для проверки смены активных слайдов"
"passed","Sun Jul 09 20:56:28 GMT 2023","Sun Jul 09 20:56:36 GMT 2023","8889","","UITests.WorkTest","","UITests.WorkTest","swiperBannerTest","Проверка наличия и отображения баннера. Проверка его работоспособности.","Тест проверяет отображение слайдера с баннерами. Свайпает слайдер и проверяет меняется ли класс слайдера на другой, для проверки смены активных слайдов"
"failed","Sun Jul 09 20:57:18 GMT 2023","Sun Jul 09 20:57:51 GMT 2023","32812","","UITests.DataProviderAuthTest","","UITests.DataProviderAuthTest","testLogin","testLogin(String, String) [3] qwe, password",""
"passed","Sun Jul 09 20:55:44 GMT 2023","Sun Jul 09 20:55:46 GMT 2023","1983","","UITests.DisplayTest","","UITests.DisplayTest","certificatesBlockVisibilityTest","Проверка наличия и отображения блока с Сертификатами.","Тест проверяет наличие и отображение блока с Сертификатами."
"failed","Sun Jul 09 20:55:46 GMT 2023","Sun Jul 09 20:56:20 GMT 2023","33548","","UITests.AuthTest","","UITests.AuthTest","wayAuthorizationTest","Проверка авторизации на сайте Way2","Тест проверяет успешно ли проходит авторизация на сайте Way2 при вводе учетных данных пользователя."
"passed","Sun Jul 09 20:56:20 GMT 2023","Sun Jul 09 20:56:23 GMT 2023","3159","","UITests.AuthTest","","UITests.AuthTest","practiceSiteAuthorizationTest","Проверка авторизации на сайте Practice Site 2","Тест проверяет авторизацию на сайте Practice Site 2. Появляется ли текст о успешной авторизации после ввода учетных данных."
